path,sigma_px,offset_px,distance_px,x,y,red,green,blue,saturation,value
A,0,1,3.5,148.5,217.0,92.5,159.0,181.5,0.4903581267217631,181.5
A,0,1,3.75,148.75,217.0,92.25,158.0,180.25,0.4882108183079057,180.25
A,0,1,4.0,149.0,217.0,92.0,157.0,179.0,0.4860335195530726,179.0
A,0,1,4.25,149.25,217.0,91.25,155.25,177.0,0.4844632768361582,177.0
A,0,1,4.5,149.5,217.0,90.5,153.5,175.0,0.4828571428571429,175.0
A,0,1,4.75,149.75,217.0,89.75,151.75,173.0,0.48121387283236994,173.0
A,0,1,5.0,150.0,217.0,89.0,150.0,171.0,0.47953216374269003,171.0
A,0,1,5.25,150.25,217.0,88.25,148.25,169.0,0.47781065088757396,169.0
A,0,1,5.5,150.5,217.0,87.5,146.5,167.0,0.47604790419161674,167.0
A,0,1,5.75,150.75,217.0,86.75,144.75,165.0,0.47424242424242424,165.0
A,0,1,6.0,151.0,217.0,86.0,143.0,163.0,0.4723926380368098,163.0
A,0,1,6.25,151.25,217.0,87.25,141.0,159.25,0.4521193092621664,159.25
A,0,1,6.5,151.5,217.0,88.5,139.0,155.5,0.43086816720257237,155.5
A,0,1,6.75,151.75,217.0,89.75,137.0,151.75,0.4085667215815486,151.75
A,0,1,7.0,152.0,217.0,91.0,135.0,148.0,0.38513513513513514,148.0
A,0,1,7.25,152.25,217.0,86.25,130.75,144.25,0.4020797227036395,144.25
A,0,1,7.5,152.5,217.0,81.5,126.5,140.5,0.4199288256227758,140.5
A,0,1,7.75,152.75,217.0,76.75,122.25,136.75,0.43875685557586835,136.75
A,0,1,8.0,153.0,217.0,72.0,118.0,133.0,0.45864661654135336,133.0
A,0,1,8.25,153.25,217.0,65.5,112.25,127.25,0.48526522593320237,127.25
A,0,1,8.5,153.5,217.0,59.0,106.5,121.5,0.51440329218107,121.5
A,0,1,8.75,153.75,217.0,52.5,100.75,115.75,0.5464362850971922,115.75
A,0,1,9.0,154.0,217.0,46.0,95.0,110.0,0.5818181818181818,110.0
A,0,1,9.25,154.25,217.0,56.0,106.75,121.75,0.5400410677618069,121.75
A,0,1,9.5,154.5,217.0,66.0,118.5,133.5,0.5056179775280899,133.5
A,0,1,9.75,154.75,217.0,76.0,130.25,145.25,0.47676419965576594,145.25
A,0,1,10.0,155.0,217.0,86.0,142.0,157.0,0.45222929936305734,157.0
A,0,1,10.25,155.25,217.0,87.25,144.0,159.75,0.4538341158059468,159.75
A,0,1,10.5,155.5,217.0,88.5,146.0,162.5,0.4553846153846154,162.5
A,0,1,10.75,155.75,217.0,89.75,148.0,165.25,0.4568835098335855,165.25
A,0,1,11.0,156.0,217.0,91.0,150.0,168.0,0.4583333333333333,168.0
A,0,1,11.25,156.25,217.0,90.75,149.0,168.25,0.4606240713224368,168.25
A,0,1,11.5,156.5,217.0,90.5,148.0,168.5,0.4629080118694362,168.5
A,0,1,11.75,156.75,217.0,90.25,147.0,168.75,0.4651851851851852,168.75
A,0,1,12.0,157.0,217.0,90.0,146.0,169.0,0.46745562130177515,169.0
A,0,1,12.25,157.25,217.0,92.75,146.5,170.75,0.4568081991215227,170.75
A,0,1,12.5,157.5,217.0,95.5,147.0,172.5,0.4463768115942029,172.5
A,0,1,12.75,157.75,217.0,98.25,147.5,174.25,0.43615494978479197,174.25
A,0,1,13.0,158.0,217.0,101.0,148.0,176.0,0.42613636363636365,176.0
A,0,1,13.25,158.25,217.0,101.25,146.75,175.75,0.4238975817923186,175.75
A,0,1,13.5,158.5,217.0,101.5,145.5,175.5,0.42165242165242167,175.5
